t_start,t_end,pool_now,target_tot,eff_change_time,arrivals,rejections,rejection_rate,idle_mean_interval,pred_rej_at_target,pred_n
870.000,880.000,1,12,880.000,14,0,0.000000,4.384,0.000000,8
880.000,890.000,4,13,890.000,8,0,0.000000,4.501,0.000000,11
890.000,900.000,2,13,900.000,11,0,0.000000,2.845,0.000000,9
900.000,910.000,4,15,910.000,9,0,0.000000,1.781,0.000000,13
910.000,920.000,2,15,920.000,13,0,0.000000,4.080,0.000000,10
920.000,930.000,2,15,930.000,10,1,0.100000,2.576,0.000000,11
930.000,940.000,4,14,940.000,11,3,0.272727,1.256,0.000000,10
940.000,950.000,5,15,950.000,10,0,0.000000,4.254,0.000000,11
950.000,960.000,3,12,960.000,11,0,0.000000,3.753,0.000000,13
960.000,970.000,6,15,970.000,13,0,0.000000,3.869,0.000000,12
970.000,980.000,2,16,980.000,12,3,0.250000,3.290,0.000000,8
980.000,990.000,2,13,990.000,8,0,0.000000,2.961,0.000000,8
990.000,999.968,1,13,990.000,8,0,0.000000,1.011,0.000000,8
