t_start,t_end,pool_now,target_tot,eff_change_time,arrivals,rejections,rejection_rate,idle_mean_interval,pred_rej_at_target,pred_n
890.000,900.000,7,17,900.000,11,0,0.000000,8.328,NaN,0
900.000,910.000,5,17,910.000,9,0,0.000000,6.240,NaN,0
910.000,920.000,2,17,920.000,13,0,0.000000,3.302,NaN,0
920.000,930.000,3,17,930.000,10,0,0.000000,2.878,NaN,0
930.000,940.000,6,17,940.000,11,0,0.000000,4.138,NaN,0
940.000,950.000,8,17,950.000,10,0,0.000000,7.578,NaN,0
950.000,960.000,7,17,960.000,11,0,0.000000,6.707,NaN,0
960.000,970.000,5,17,970.000,13,0,0.000000,7.955,NaN,0
970.000,980.000,5,17,980.000,12,0,0.000000,7.446,NaN,0
980.000,990.000,3,17,990.000,8,0,0.000000,3.100,NaN,0
990.000,999.968,5,17,990.000,8,0,0.000000,5.502,NaN,0
