t_start,t_end,pool_now,target_tot,eff_change_time,arrivals,rejections,rejection_rate,idle_mean_interval,pred_rej_at_target,pred_n
870.000,880.000,1,10,880.000,14,3,0.214286,1.348,0.000000,4
880.000,890.000,3,14,890.000,8,2,0.250000,1.701,0.000000,5
890.000,900.000,1,15,900.000,11,1,0.090909,0.984,0.000000,5
900.000,910.000,1,11,910.000,9,0,0.000000,3.838,0.000000,4
910.000,920.000,2,12,920.000,13,2,0.153846,1.937,0.000000,3
920.000,930.000,1,13,930.000,10,4,0.400000,0.613,0.000000,6
930.000,940.000,2,13,940.000,11,0,0.000000,1.755,0.000000,4
940.000,950.000,5,16,950.000,10,0,0.000000,3.379,0.000000,8
950.000,960.000,1,14,960.000,11,1,0.090909,1.527,0.000000,5
960.000,970.000,1,14,970.000,13,3,0.230769,1.052,0.000000,3
970.000,980.000,1,15,980.000,12,1,0.083333,1.681,0.000000,4
980.000,990.000,1,16,990.000,8,0,0.000000,1.018,0.000000,4
990.000,999.968,6,16,990.000,8,0,0.000000,4.797,0.000000,4
